;;;;;;;;;czwartek, 4 grudnia 2025
Plan dla toku: Informatyka S inz. 3.50 2025/2026 Zima;;;;;;;;;
Czas od;;Czas do;Liczba godzin;Grupy;Zajecia;Sala;Forma zaliczenia;Uwagi;
Data Zajec: 2025.10.01 sroda ;;;;;;;;;
;9:00;10:30;2h00m;Infor. 1st 1sem WykS ;Algorytmy i struktury danych ;S55 111 ;Egzamin;;
;10:45;12:15;2h00m;Infor. 1st 1sem WykS ;Algorytmy i struktury danych ;S55 111 ;Egzamin;;
;12:30;14:00;2h00m;Infor. 1st 1sem Cw2S ;Algorytmy i struktury danych ;S55 408 - prac. dietetyki ;Zaliczenie ocena;;
;12:30;14:00;2h00m;Infor. 1st 1sem Cw3S ;Zajecia z tutorem ;S55 504 ;Nie dotyczy;;
;14:15;15:45;2h00m;Infor. 1st 1sem Cw2S ;Zajecia z tutorem ;S55 408 - prac. dietetyki ;Nie dotyczy;;
Data Zajec: 2025.10.02 czwartek ;;;;;;;;;
;9:00;10:30;2h00m;Infor. 1st 1sem WykS ;Fizyka 1 ;S55 111 ;Zaliczenie ocena;;
;10:45;12:15;2h00m;Infor. 1st 1sem WykS ;Podstawy informatyki ;S55 111 ;Zaliczenie ocena;;
;12:30;14:00;2h00m;Infor. 1st 1sem WykS ;Podstawy informatyki ;S55 111 ;Zaliczenie ocena;;
;14:15;15:45;2h00m;Infor. 1st 1sem WykS ;Programowanie w jezyku Python 1 ;S55 111 ;Zaliczenie ocena;;
Data Zajec: 2025.10.06 poniedzialek ;;;;;;;;;
;8:00;8:45;1h00m;Infor. 1st 1sem Cw1S ;Zajecia z tutorem ;S55 111 ;Nie dotyczy;;
;9:00;10:30;2h00m;Infor. 1st 1sem Cw1S ;Programowanie w jezyku Python 1 ;S55 16 ;Zaliczenie ocena;;
;10:45;12:15;2h00m;Infor. 1st 1sem WykS ;Algorytmy i struktury danych ;S55 111 ;Egzamin;;
;12:30;14:00;2h00m;Infor. 1st 1sem WykS ;Algebra liniowa z geometria analityczna ;S55 111 ;Egzamin;;
;14:15;15:45;2h00m;Infor. 1st 1sem WykS ;Analiza matematyczna 1 ;S55 111 ;Zaliczenie ocena;;
;16:00;17:30;2h00m;Infor. 1st 1sem WykS ;Etyka inzyniera i prawo autorskie ;S55 111 ;Zaliczenie ocena;;
Data Zajec: 2025.10.07 wtorek ;;;;;;;;;
;8:10;9:45;2h00m;Infor. 1st 1sem Cw3S ;Podstawy informatyki ;S47 313 ;Zaliczenie ocena;;
;10:00;11:30;2h00m;Infor. 1st 1sem Cw3S ;Podstawy informatyki ;S47 313 ;Zaliczenie ocena;;
;10:45;12:15;2h00m;Infor. 1st 1sem Cw2S ;Kompetencje przyszlosci 1 ;S55 108 ;Zaliczenie;;
;11:35;13:55;3h00m;Infor. 1st 1sem Cw3S ;Algorytmy i struktury danych ;S47 212 - prac. matematyczna/ratownicza ;Zaliczenie ocena;;
;12:30;14:00;2h00m;Infor. 1st 1sem Cw1S ;Etyka inzyniera i prawo autorskie ;;Zaliczenie ocena;Distance learning, Zajecia odwolane;
;12:30;14:00;2h00m;Infor. 1st 1sem Cw2S ;Kompetencje przyszlosci 1 ;S55 108 ;Zaliczenie;;
;14:15;15:45;2h00m;Infor. 1st 1sem Cw2S ;Algorytmy i struktury danych ;S47 213 - prac. ratownicza ;Zaliczenie ocena;;
;16:00;17:30;2h00m;Infor. 1st 1sem Cw2S ;Algebra liniowa z geometria analityczna ;;Zaliczenie ocena;Zajecia odwolane;
Data Zajec: 2025.10.08 sroda ;;;;;;;;;
;8:00;9:45;2h00m;Infor. 1st 1sem Cw3S ;Algebra liniowa z geometria analityczna ;;Zaliczenie ocena;Distance learning;
;14:10;15:40;2h00m;Infor. 1st 1sem Cw2S ;Programowanie w jezyku Python 1 ;S55 308 ;Zaliczenie ocena;;
;16:00;17:30;2h00m;Infor. 1st 1sem Cw2S ;Fizyka 1 ;;Zaliczenie ocena;Zajecia odwolane;
;17:45;19:15;2h00m;Infor. 1st 1sem Cw2S ;Fizyka 1 ;;Zaliczenie ocena;Zajecia odwolane;
Data Zajec: 2025.10.09 czwartek ;;;;;;;;;
;9:00;12:15;4h00m;Infor. 1st 1sem WykS ;Fizyka 1 ;S55 111 ;Zaliczenie ocena;;
;12:30;14:00;2h00m;Infor. 1st 1sem Cw3S ;Analiza matematyczna 1 ;S55 502 - prac. edukacji elementarnej i sensorycznej ;Zaliczenie ocena;Zajecia przeniesione z godz. 17.45 ;
;14:15;15:45;2h00m;Infor. 1st 1sem WykS ;Programowanie w jezyku Python 1 ;S55 111 ;Zaliczenie ocena;;
;16:00;17:30;2h00m;Infor. 1st 1sem WykS ;Programowanie w jezyku Python 1 ;S55 111 ;Zaliczenie ocena;;
Data Zajec: 2025.10.13 poniedzialek ;;;;;;;;;
;9:00;11:30;3h00m;Infor. 1st 1sem Cw2S ;Podstawy informatyki ;S47 210 ;Zaliczenie ocena;;
;9:55;12:15;3h00m;Infor. 1st 1sem Cw1S ;Fizyka 1 ;S47 312 - prac. matematyczna ;Zaliczenie ocena;;
;10:45;12:15;2h00m;Infor. 1st 1sem Cw3S ;Kompetencje przyszlosci 1 ;S47 124 ;Zaliczenie;;
;11:45;13:15;2h00m;Infor. 1st 1sem Cw2S ;Programowanie w jezyku Python 1 ;S47 210 ;Zaliczenie ocena;;
;12:30;14:00;2h00m;Infor. 1st 1sem Cw3S ;Kompetencje przyszlosci 1 ;S47 124 ;Zaliczenie;;
;12:30;14:00;2h00m;Infor. 1st 1sem Cw1S ;Analiza matematyczna 1 ;S47 312 - prac. matematyczna ;Zaliczenie ocena;;
;13:30;15:00;2h00m;Infor. 1st 1sem Cw2S ;Programowanie w jezyku Python 1 ;S47 210 ;Zaliczenie ocena;;
;14:15;15:45;2h00m;Infor. 1st 1sem Cw1S ;Analiza matematyczna 1 ;S47 312 - prac. matematyczna ;Zaliczenie ocena;;
;14:15;15:45;2h00m;Infor. 1st 1sem Cw3S ;Programowanie w jezyku Python 1 ;S47 208 ;Zaliczenie ocena;;
;16:00;17:30;2h00m;Infor. 1st 1sem Cw3S ;Programowanie w jezyku Python 1 ;S47 208 ;Zaliczenie ocena;;
;16:00;17:30;2h00m;Infor. 1st 1sem Cw1S ;Etyka inzyniera i prawo autorskie ;S47 119 ;Zaliczenie ocena;;
Data Zajec: 2025.10.14 wtorek ;;;;;;;;;
;8:00;8:45;1h00m;Infor. 1st 1sem Cw1S ;Zajecia z tutorem ;S47 212 - prac. matematyczna/ratownicza ;Nie dotyczy;;
;9:00;10:30;2h00m;Infor. 1st 1sem Cw1S ;Algorytmy i struktury danych ;S47 212 - prac. matematyczna/ratownicza ;Zaliczenie ocena;;
;10:45;12:15;2h00m;Infor. 1st 1sem Cw1S ;Algorytmy i struktury danych ;S47 212 - prac. matematyczna/ratownicza ;Zaliczenie ocena;;
;10:45;12:15;2h00m;Infor. 1st 1sem Cw3S ;Etyka inzyniera i prawo autorskie ;;Zaliczenie ocena;Distance learning;
;12:30;14:00;2h00m;Infor. 1st 1sem Cw2S ;Algorytmy i struktury danych ;S47 213 - prac. ratownicza ;Zaliczenie ocena;;
;12:30;14:00;2h00m;Infor. 1st 1sem Cw1S ;Algebra liniowa z geometria analityczna ;;Zaliczenie ocena;Zajecia odwolane;
;14:15;15:45;2h00m;Infor. 1st 1sem Cw2S ;Algorytmy i struktury danych ;S47 213 - prac. ratownicza ;Zaliczenie ocena;;
;14:15;15:45;2h00m;Infor. 1st 1sem Cw1S ;Algebra liniowa z geometria analityczna ;;Zaliczenie ocena;Zajecia odwolane;
;16:00;17:30;2h00m;Infor. 1st 1sem Cw2S ;Analiza matematyczna 1 ;;Zaliczenie ocena;Zajecia odwolane;
Data Zajec: 2025.10.15 sroda ;;;;;;;;;
;16:00;17:30;2h00m;Infor. 1st 1sem Cw2S ;Fizyka 1 ;S47 109 ;Zaliczenie ocena;Zajecia odrabiane z 8.10 ;
;17:45;19:15;2h00m;Infor. 1st 1sem Cw2S ;Fizyka 1 ;S47 109 ;Zaliczenie ocena;Zajecia odrabiane z 8.10 ;
Data Zajec: 2025.10.16 czwartek ;;;;;;;;;
;9:00;10:30;2h00m;Infor. 1st 1sem WykS ;Podstawy informatyki ;;Zaliczenie ocena;Zajecia odwolane;
;10:45;12:15;2h00m;Infor. 1st 1sem WykS ;Podstawy informatyki ;;Zaliczenie ocena;Zajecia odwolane;
Data Zajec: 2025.10.17 piatek ;;;;;;;;;
;9:45;11:15;2h00m;Infor. 1st 1sem WykS ;Analiza matematyczna 1 ;;Zaliczenie ocena;Distance learning;
;11:30;13:00;2h00m;Infor. 1st 1sem WykS ;Algebra liniowa z geometria analityczna ;;Egzamin;Distance learning;
Data Zajec: 2025.10.20 poniedzialek ;;;;;;;;;
;8:10;11:20;4h00m;Infor. 1st 1sem Cw2S ;Podstawy informatyki ;S47 210 ;Zaliczenie ocena;;
;9:00;10:30;2h00m;Infor. 1st 1sem Cw1S ;Etyka inzyniera i prawo autorskie ;S55 108 ;Zaliczenie ocena;;
;10:45;12:15;2h00m;Infor. 1st 1sem Cw1S ;Etyka inzyniera i prawo autorskie ;S55 108 ;Zaliczenie ocena;;
;12:30;14:00;2h00m;Infor. 1st 1sem Cw3S ;Programowanie w jezyku Python 1 ;;Zaliczenie ocena;Zajecia odwolane;
;12:30;14:00;2h00m;Infor. 1st 1sem Cw2S ;Etyka inzyniera i prawo autorskie ;S55 108 ;Zaliczenie ocena;;
;12:30;14:50;3h00m;Infor. 1st 1sem Cw1S ;Programowanie w jezyku Python 1 ;S55 15 ;Zaliczenie ocena;;
;14:15;15:45;2h00m;Infor. 1st 1sem Cw3S ;Programowanie w jezyku Python 1 ;;Zaliczenie ocena;Zajecia odwolane;
;14:15;15:45;2h00m;Infor. 1st 1sem Cw2S ;Etyka inzyniera i prawo autorskie ;S55 108 ;Zaliczenie ocena;;
;16:00;17:30;2h00m;Infor. 1st 1sem Cw3S ;Etyka inzyniera i prawo autorskie ;S47 119 ;Zaliczenie ocena;;
;17:45;19:15;2h00m;Infor. 1st 1sem Cw3S ;Podstawy informatyki ;S47 313 ;Zaliczenie ocena;;
Data Zajec: 2025.10.21 wtorek ;;;;;;;;;
;8:10;10:30;3h00m;Infor. 1st 1sem Cw1S ;Podstawy informatyki ;S47 210 ;Zaliczenie ocena;;
;10:45;12:15;2h00m;Infor. 1st 1sem Cw1S ;Kompetencje przyszlosci 1 ;S47 124 ;Zaliczenie;;
;12:30;14:00;2h00m;Infor. 1st 1sem Cw1S ;Kompetencje przyszlosci 1 ;S47 124 ;Zaliczenie;;
;12:30;14:00;2h00m;Infor. 1st 1sem Cw2S ;Algebra liniowa z geometria analityczna ;S47 312 - prac. matematyczna ;Zaliczenie ocena;;
;14:15;15:45;2h00m;Infor. 1st 1sem Cw2S ;Algebra liniowa z geometria analityczna ;S47 312 - prac. matematyczna ;Zaliczenie ocena;;
;16:00;17:30;2h00m;Infor. 1st 1sem Cw2S ;Analiza matematyczna 1 ;S47 212 - prac. matematyczna/ratownicza ;Zaliczenie ocena;;
Data Zajec: 2025.10.22 sroda ;;;;;;;;;
;9:00;10:30;2h00m;Infor. 1st 1sem WykS ;Analiza matematyczna 1 ;;Zaliczenie ocena;Distance learning;
;14:15;15:45;2h00m;Infor. 1st 1sem Cw3S ;Algebra liniowa z geometria analityczna ;S47 312 - prac. matematyczna ;Zaliczenie ocena;;
;16:00;17:30;2h00m;Infor. 1st 1sem Cw2S ;Fizyka 1 ;S47 119 ;Zaliczenie ocena;;
;16:00;17:30;2h00m;Infor. 1st 1sem Cw3S ;Algebra liniowa z geometria analityczna ;S47 312 - prac. matematyczna ;Zaliczenie ocena;;
;17:45;19:15;2h00m;Infor. 1st 1sem Cw2S ;Fizyka 1 ;S47 119 ;Zaliczenie ocena;;
Data Zajec: 2025.10.23 czwartek ;;;;;;;;;
;9:00;10:30;2h00m;Infor. 1st 1sem Cw2S ;Programowanie w jezyku Python 1 ;S47 313 ;Zaliczenie ocena;;
;9:00;10:30;2h00m;Infor. 1st 1sem Cw1S ;Fizyka 1 ;S47 124 ;Zaliczenie ocena;;
;10:45;12:15;2h00m;Infor. 1st 1sem Cw1S ;Fizyka 1 ;S47 124 ;Zaliczenie ocena;;
;10:45;12:15;2h00m;Infor. 1st 1sem Cw2S ;Programowanie w jezyku Python 1 ;S47 313 ;Zaliczenie ocena;;
;12:35;14:55;3h00m;Infor. 1st 1sem WykS ;Podstawy informatyki ;S55 111 ;Zaliczenie ocena;;
;15:10;17:30;3h00m;Infor. 1st 1sem Cw3S ;Algorytmy i struktury danych ;S47 212 - prac. matematyczna/ratownicza ;Zaliczenie ocena;;
;17:45;19:15;2h00m;Infor. 1st 1sem Cw3S ;Analiza matematyczna 1 ;S47 312 - prac. matematyczna ;Zaliczenie ocena;;
Data Zajec: 2025.10.24 piatek ;;;;;;;;;
;9:45;11:15;2h00m;Infor. 1st 1sem WykS ;Algebra liniowa z geometria analityczna ;;Egzamin;Distance learning;
;11:30;13:00;2h00m;Infor. 1st 1sem WykS ;Algebra liniowa z geometria analityczna ;;Egzamin;Distance learning;
Data Zajec: 2025.10.27 poniedzialek ;;;;;;;;;
;9:00;12:15;4h00m;Infor. 1st 1sem Cw3S ;Fizyka 1 ;S47 212 - prac. matematyczna/ratownicza ;Zaliczenie ocena;;
;12:30;14:00;2h00m;Infor. 1st 1sem Cw3S ;Programowanie w jezyku Python 1 ;S47 208 ;Zaliczenie ocena;;
;12:30;14:00;2h00m;Infor. 1st 1sem Cw2S ;Analiza matematyczna 1 ;S47 212 - prac. matematyczna/ratownicza ;Zaliczenie ocena;;
;12:45;15:00;3h00m;Infor. 1st 1sem Cw1S ;Programowanie w jezyku Python 1 ;S47 310 - Lab. sieci/Prac. komputerowa/Cisco ;Zaliczenie ocena;;
;14:15;15:45;2h00m;Infor. 1st 1sem Cw2S ;Analiza matematyczna 1 ;S47 212 - prac. matematyczna/ratownicza ;Zaliczenie ocena;;
;14:15;15:45;2h00m;Infor. 1st 1sem Cw3S ;Programowanie w jezyku Python 1 ;S47 208 ;Zaliczenie ocena;;
;16:00;17:30;2h00m;Infor. 1st 1sem WykS ;Etyka inzyniera i prawo autorskie ;S47 118 ;Zaliczenie ocena;;
;17:45;19:15;2h00m;Infor. 1st 1sem Cw1S ;Etyka inzyniera i prawo autorskie ;S47 109 ;Zaliczenie ocena;;
Data Zajec: 2025.10.28 wtorek ;;;;;;;;;
;8:10;9:40;2h00m;Infor. 1st 1sem Cw1S ;Podstawy informatyki ;S47 210 ;Zaliczenie ocena;;
;10:00;11:30;2h00m;Infor. 1st 1sem Cw1S ;Podstawy informatyki ;S47 210 ;Zaliczenie ocena;;
;10:45;12:15;2h00m;Infor. 1st 1sem Cw2S ;Kompetencje przyszlosci 1 ;S47 212 - prac. matematyczna/ratownicza ;Zaliczenie;;
;12:30;14:00;2h00m;Infor. 1st 1sem Cw1S ;Algebra liniowa z geometria analityczna ;S47 312 - prac. matematyczna ;Zaliczenie ocena;;
;12:30;14:00;2h00m;Infor. 1st 1sem Cw2S ;Kompetencje przyszlosci 1 ;S47 212 - prac. matematyczna/ratownicza ;Zaliczenie;;
;14:15;15:45;2h00m;Infor. 1st 1sem Cw1S ;Algebra liniowa z geometria analityczna ;S47 312 - prac. matematyczna ;Zaliczenie ocena;;
;14:20;16:40;3h00m;Infor. 1st 1sem Cw2S ;Algorytmy i struktury danych ;S47 213 - prac. ratownicza ;Zaliczenie ocena;;
;16:00;19:10;4h00m;Infor. 1st 1sem Cw3S ;Algebra liniowa z geometria analityczna ;S47 312 - prac. matematyczna ;Zaliczenie ocena;;
Data Zajec: 2025.10.30 czwartek ;;;;;;;;;
;8:00;9:30;2h00m;Infor. 1st 1sem Cw2S ;Algebra liniowa z geometria analityczna ;;Zaliczenie ocena;Zajecia odrabiane z 7.10 Distance learning;
;9:35;11:05;2h00m;Infor. 1st 1sem Cw2S ;Analiza matematyczna 1 ;;Zaliczenie ocena;Zajecia odrabiane z 14.10 Distance learning;
;11:05;12:35;2h00m;Infor. 1st 1sem Cw1S ;Algebra liniowa z geometria analityczna ;;Zaliczenie ocena;Zajecia odrabiane z 14.10 Distance learning;
;12:40;14:10;2h00m;Infor. 1st 1sem Cw1S ;Algebra liniowa z geometria analityczna ;;Zaliczenie ocena;Zajecia odrabiane z 14.10 Distance learning;
Data Zajec: 2025.10.31 piatek ;;;;;;;;;
;9:45;11:15;2h00m;Infor. 1st 1sem WykS ;Analiza matematyczna 1 ;;Zaliczenie ocena;Distance learning;
;11:30;13:00;2h00m;Infor. 1st 1sem WykS ;Analiza matematyczna 1 ;;Zaliczenie ocena;Distance learning;
;13:15;14:45;2h00m;Infor. 1st 1sem WykS ;Programowanie w jezyku Python 1 ;;Zaliczenie ocena;Distance learning;
Data Zajec: 2025.11.03 poniedzialek ;;;;;;;;;
;8:55;11:15;3h00m;Infor. 1st 1sem WykS ;Fizyka 1 ;;Zaliczenie ocena;Distance learning;
;11:35;12:20;1h00m;Infor. 1st 1sem WykS ;Algorytmy i struktury danych ;;Egzamin;Distance learning;
;12:30;14:00;2h00m;Infor. 1st 1sem WykS ;Algorytmy i struktury danych ;;Egzamin;Distance learning;
;14:15;15:45;2h00m;Infor. 1st 1sem Cw2S ;Etyka inzyniera i prawo autorskie ;;Zaliczenie ocena;Distance learning;
;14:15;15:45;2h00m;Infor. 1st 1sem Cw3S ;Analiza matematyczna 1 ;;Zaliczenie ocena;Distance learning;
;16:00;18:20;3h00m;Infor. 1st 1sem WykS ;Etyka inzyniera i prawo autorskie ;;Zaliczenie ocena;Distance learning;
Data Zajec: 2025.11.04 wtorek ;;;;;;;;;
;8:10;9:40;2h00m;Infor. 1st 1sem Cw2S ;Podstawy informatyki ;S47 310 - Lab. sieci/Prac. komputerowa/Cisco ;Zaliczenie ocena;;
;9:55;11:25;2h00m;Infor. 1st 1sem Cw2S ;Podstawy informatyki ;S47 310 - Lab. sieci/Prac. komputerowa/Cisco ;Zaliczenie ocena;;
;10:45;12:15;2h00m;Infor. 1st 1sem Cw3S ;Kompetencje przyszlosci 1 ;S47 213 - prac. ratownicza ;Zaliczenie;;
